X,Y,ruta,parada,label,itinerario,objectid,linea
-8409342.97829834,695614.836452276,C6-024,Integración Alejandro Echavarría,Integración Alejandro Echavarría,C6-024 8 de Marzo,1572,C6-024 8 de Marzo - Estación Alejandro Echavarría
-8409453.8422134,695532.104982108,C6-024,Cr 17 con Cll 50,Cr 17 con Cll 50,C6-024 8 de Marzo,1573,C6-024 8 de Marzo - Estación Alejandro Echavarría
-8409350.0674644,695294.55352018,C6-024,CLL49 con CRA 14C,CLL49 con CRA 14C,C6-024 8 de Marzo,1574,C6-024 8 de Marzo - Estación Alejandro Echavarría
-8409106.99926193,695223.927495494,C6-024,Cl 49A entre Cra 12 y 12A,Cl 49A entre Cra 12 y 12A,C6-024 8 de Marzo,1575,C6-024 8 de Marzo - Estación Alejandro Echavarría
-8409004.03739404,695018.402020019,C6-024,Cl 49 con Cra 9B,Cl 49 con Cra 9B,C6-024 8 de Marzo,1576,C6-024 8 de Marzo - Estación Alejandro Echavarría
-8408721.39841074,694991.476773575,C6-024,Cl 49 con Cra 6B,Cl 49 con Cra 6B,C6-024 8 de Marzo,1577,C6-024 8 de Marzo - Estación Alejandro Echavarría
-8408678.49357987,694884.32349772,C6-024,Cl 48 con Cra 6AB,Cl 48 con Cra 6AB,C6-024 8 de Marzo,1578,C6-024 8 de Marzo - Estación Alejandro Echavarría
-8408555.25684145,694859.012219559,C6-024,Cl 48 con Cra 3D,Cl 48 con Cra 3D,C6-024 8 de Marzo,1579,C6-024 8 de Marzo - Estación Alejandro Echavarría
-8408422.24942293,694810.564925939,C6-024,Cl 48 con Cra 4,Cl 48 con Cra 4,C6-024 8 de Marzo,1580,C6-024 8 de Marzo - Estación Alejandro Echavarría
-8408340.60289777,694779.598562483,C6-024,Cl 48 con Cra 3,Cl 48 con Cra 3,C6-024 8 de Marzo,1581,C6-024 8 de Marzo - Estación Alejandro Echavarría
-8408283.96223567,694665.256402656,C6-024,Cl 47 con Cra 2BB,Cl 47 con Cra 2BB,C6-024 8 de Marzo,1582,C6-024 8 de Marzo - Estación Alejandro Echavarría
-8408097.29048084,694583.547688223,C6-024,Cl 46 con Cra 2AG,Cl 46 con Cra 2AG,C6-024 8 de Marzo,1583,C6-024 8 de Marzo - Estación Alejandro Echavarría
-8407949.14494799,694724.520094153,C6-024,CLL 47A  CRA 1C,CLL 47A  CRA 1C,C6-024 8 de Marzo,1584,C6-024 8 de Marzo - Estación Alejandro Echavarría
-8407830.66309327,694836.472602487,C6-024,CLL48 con CRA1A,CLL48 con CRA1A,C6-024 8 de Marzo,1585,C6-024 8 de Marzo - Estación Alejandro Echavarría
-8407131.5431156,694599.743207958,C6-025,La Espadera km 4+130,La Espadera km 4+130,C6-025  8 de Marzo - Estación Oriente,1586,C6-025 8 de Marzo - Estación Oriente
-8407267.00526967,694565.428762589,C6-025,Cll  46 Cr 10 Este,Cll  46 Cr 10 Este,C6-025  8 de Marzo - Estación Oriente,1587,C6-025 8 de Marzo - Estación Oriente
-8407421.79776306,694685.542410869,C6-025,Cll  46 Cr  10 Este,Cll  46 Cr  10 Este,C6-025  8 de Marzo - Estación Oriente,1588,C6-025 8 de Marzo - Estación Oriente
-8407608.05013699,694712.00147631,C6-025,Cll 46 Cr 1Este - 160,Cll 46 Cr 1Este - 160,C6-025  8 de Marzo - Estación Oriente,1589,C6-025 8 de Marzo - Estación Oriente
-8407811.73055151,694662.71228452,C6-025,Cll 46 Cr 1AA,Cll 46 Cr 1AA,C6-025  8 de Marzo - Estación Oriente,1590,C6-025 8 de Marzo - Estación Oriente
-8408061.65676746,694619.319018006,C6-025,Calle 46 Cr 1B,Calle 46 Cr 1B,C6-025  8 de Marzo - Estación Oriente,1591,C6-025 8 de Marzo - Estación Oriente
